dist,arriv,dist_syr,shelter,wc,school,health,toilet,toilet_connection,toilet_floor,male,female,hh_size,total_not_enrolled,numbers_disabled,age_00_04,age_05_09,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80,age_brackets
District 02,2012/09,Izra',Caravan,100-149m,400-700m,400-799m,Yes,No connection,Concrete,6-10,3-5,11,1-2,0,0,3,1,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
District 08,2013/03,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,Septic tank,Concrete,3-5,6-10,11,1-2,1-2,0,1,3,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0
District 10,2013/01,Izra',Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,3-5,6-10,11,1-2,1-2,2,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,2,0
District 10,2013/01,Dar'a,Caravan, 50-99m,100-199m,100-199m,Yes,Septic tank,Concrete,6-10,1-2,8,1-2,0,1,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0
District 10,2013/04,Izra',Caravan, 0-49m,100-199m,100-199m,No,No toilet,No toilet,3-5,6-10,9,1-2,1-2,0,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
District 10,2013/03,Izra',Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,6-10,8,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0
District 05,2013/10,Duma,Caravan, 0-49m,200-399m, 0-99m,Yes,No connection,Concrete,6-10,More than 10,21,3-5,1-2,1,4,2,7,2,0,1,2,0,0,0,0,0,1,0,0,1,0
District 04,2012/10,Dar'a,Tent and caravan, 0-49m,100-199m,200-399m,Yes,Sewage network,Concrete,3-5,3-5,9,0,0,2,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0
District 11,2014/02,As Sanamayn,Caravan, 0-49m,400-700m,200-399m,Yes,Sewage network,Concrete,3-5,3-5,10,3-5,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
District 12,2012/12,Dar'a,Caravan,150-199m,100-199m,100-199m,Yes,No connection,Concrete,3-5,6-10,9,0,0,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
District 11,2013/01,Dar'a,Caravan, 50-99m,200-399m,100-199m,Yes,No connection,Concrete,1-2,3-5,7,No school-aged children,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
District 06,2013/10,Dar'a,Tent and caravan, 50-99m,400-700m,100-199m,Yes,No connection,Concrete,3-5,6-10,9,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0
District 12,2013/02,As Sanamayn,Caravan, 0-49m,200-399m,400-799m,Yes,No connection,Concrete,3-5,3-5,7,No school-aged children,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0
District 01,2013/01,Izra',Caravan,200+m,200-399m,100-199m,Yes,Sewage network,Concrete,3-5,3-5,6,No school-aged children,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
District 09,2013/11,Jebel Saman,Caravan, 50-99m,400-700m,200-399m,Yes,Sewage network,Concrete,1-2,3-5,5,No school-aged children,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0
District 03,2013/11,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,Septic tank,Concrete,3-5,3-5,9,1-2,0,2,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0
District 11,2013/03,Dar'a,Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,1-2,3-5,5,1-2,1-2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0
District 09,2013/08,Izra',Caravan,100-149m,200-399m,100-199m,Yes,No connection,Concrete,3-5,3-5,6,0,1-2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
District 08,2013/01,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,1-2,4,No school-aged children,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
District 09,2013/02,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,Sewage network,Concrete,1-2,3-5,4,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
District 08,2014/02,Duma,Caravan, 50-99m,400-700m,200-399m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
District 01,2012/08,Izra',Caravan,150-199m,100-199m, 0-99m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 02,2013/05,Dar'a,Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 01,2012/08,Dar'a,Caravan,100-149m,100-199m, 0-99m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
District 10,2013/01,Izra',Caravan, 0-49m,100-199m,100-199m,No,No toilet,No toilet,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
District 01,2014/02,Dar'a,Caravan,200+m,100-199m,100-199m,Yes,Septic tank,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
District 01,2013/01,Dar'a,Caravan,100-149m,100-199m, 0-99m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
District 12,2013/02,Izra',Caravan, 50-99m,100-199m,400-799m,Yes,No connection,Concrete,1-2,3-5,6,No school-aged children,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0
District 01,2013/02,Izra',Caravan,200+m, 0-99m, 0-99m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
District 12,2014/02,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
District 05,2014/05,Duma,Caravan,100-149m,200-399m,100-199m,Yes,No connection,Concrete,1-2,3-5,6,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
District 06,2013/02,Izra',Caravan, 50-99m,200-399m,100-199m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
District 08,2013/10,Rural Damascus,Caravan, 0-49m,200-399m,400-799m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 10,2012/11,Izra',Caravan, 0-49m,200-399m,200-399m,No,No toilet,No toilet,1-2,1-2,3,No school-aged children,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
District 09,2014/08,Dar'a,Caravan, 50-99m,200-399m,200-399m,Yes,Sewage network,Concrete,1-2,3-5,4,No school-aged children,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
District 11,2013/07,As Sanamayn,Caravan, 50-99m,400-700m,400-799m,Yes,No connection,Concrete,1-2,0,1,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 02,2013/02,Izra',Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,6-10,3-5,9,1-2,1-2,0,0,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
District 05,2013/05,Homs,Caravan, 0-49m,400-700m,400-799m,No,No toilet,No toilet,3-5,3-5,8,1-2,0,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0
District 02,2012/07,Dar'a,Caravan,200+m,100-199m, 0-99m,Yes,Septic tank,Concrete,3-5,1-2,6,1-2,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
District 07,2013/04,Izra',Tent and caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,6-10,3-5,13,1-2,0,1,1,1,3,3,1,0,0,0,2,0,0,0,0,0,0,1,0
District 07,2013/01,Dar'a,Caravan, 50-99m,200-399m,800+m,Yes,No connection,Concrete,3-5,3-5,7,1-2,1-2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
District 02,2012/07,Dar'a,Caravan, 50-99m,400-700m,400-799m,Yes,No connection,Concrete,6-10,6-10,12,3-5,0,1,0,3,3,1,0,0,1,1,1,0,0,0,0,0,0,1,0
District 09,2013/01,Izra',Caravan, 0-49m,200-399m,400-799m,Yes,Septic tank,Concrete,6-10,3-5,11,1-2,1-2,0,2,2,2,0,0,0,0,2,1,0,0,0,0,1,0,1,0
District 12,2013/11,Dar'a,Caravan, 0-49m,100-199m,400-799m,Yes,No connection,Concrete,6-10,3-5,11,1-2,0,2,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0
District 07,2013/01,Izra',Caravan, 0-49m,200-399m,800+m,Yes,No connection,Concrete,3-5,3-5,9,1-2,0,1,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
District 01,2012/09,Izra',Caravan,200+m, 0-99m, 0-99m,Yes,No connection,Concrete,3-5,6-10,9,0,0,2,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
District 03,2013/04,Dar'a,Caravan, 0-49m, 0-99m,200-399m,Yes,Sewage network,Dirt / no flooring material,3-5,3-5,9,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
District 05,2013/02,Al Quasir,Tent and caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,1-2,3-5,5,No school-aged children,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0
District 05,2014/01,Duma,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,3-5,1-2,6,1-2,1-2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
District 07,2014/02,Rural Damascus,Caravan, 0-49m,200-399m,400-799m,Yes,No connection,Concrete,3-5,6-10,10,1-2,0,0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0
District 03,2012/09,Dar'a,Caravan, 50-99m,100-199m,100-199m,Yes,Sewage network,Concrete,3-5,3-5,9,0,0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
District 02,2012/07,Izra',Caravan, 50-99m,400-700m,400-799m,Yes,No connection,Concrete,1-2,6-10,8,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
District 09,2014/04,As Sanamayn,Caravan, 50-99m,200-399m,200-399m,Yes,Septic tank,Concrete,3-5,3-5,7,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0
District 01,2013/01,Dar'a,Caravan,200+m, 0-99m,100-199m,Yes,No connection,Concrete,3-5,1-2,5,No school-aged children,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
District 10,2012/11,Izra',Caravan, 0-49m,200-399m,200-399m,Yes,Septic tank,Concrete,1-2,1-2,4,No school-aged children,1-2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
District 06,2013/02,Dar'a,Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,3-5,3-5,10,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 08,2014/04,Duma,Caravan, 0-49m,400-700m,400-799m,Yes,Sewage network,Concrete,3-5,1-2,5,1-2,1-2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
District 02,2012/11,Dar'a,Caravan,100-149m,400-700m,400-799m,Yes,Septic tank,Concrete,3-5,3-5,8,1-2,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0
District 08,2013/04,Duma,Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,1-2,4,1-2,1-2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 01,2013/04,Dar'a,Caravan,150-199m,200-399m,200-399m,Yes,Septic tank,Concrete,1-2,1-2,3,1-2,1-2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 12,2013/01,Izra',Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,0,2,No school-aged children,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 05,2013/05,As Sanamayn,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,3-5,1-2,5,1-2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
District 01,2013/02,Dar'a,Caravan,200+m,200-399m, 0-99m,Yes,Sewage network,Concrete,3-5,3-5,8,1-2,1-2,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0
District 02,2014/02,Dar'a,Caravan,200+m,200-399m,100-199m,Yes,Sewage network,Concrete,1-2,1-2,3,1-2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 02,2012/11,Dar'a,Caravan,150-199m,400-700m,400-799m,Yes,Sewage network,Concrete,3-5,1-2,6,No school-aged children,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
District 07,2015/03,Duma,Caravan, 0-49m,400-700m,800+m,No,No toilet,No toilet,3-5,1-2,4,0,1-2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 02,2012/09,Dar'a,Caravan,200+m,200-399m,100-199m,No,No toilet,No toilet,3-5,1-2,5,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
District 09,2013/01,Izra',Caravan, 0-49m,400-700m,400-799m,Yes,No connection,Concrete,1-2,3-5,5,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
District 11,2012/08,Dar'a,Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
District 10,2012/11,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,Sewage network,Concrete,3-5,1-2,4,No school-aged children,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 05,2014/01,As Sanamayn,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,3-5,3-5,8,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
District 12,2013/01,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Wooden panels,1-2,3-5,6,No school-aged children,1-2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
District 09,2013/11,As Sanamayn,Caravan, 0-49m,200-399m,200-399m,Yes,Sewage network,Concrete,1-2,1-2,4,No school-aged children,1-2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
District 10,2012/12,Izra',Caravan, 50-99m,400-700m,400-799m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
District 01,2013/05,Dar'a,Caravan,150-199m, 0-99m, 0-99m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
District 09,2013/10,As Sanamayn,Caravan, 0-49m,200-399m,200-399m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
District 07,2014/04,Izra',Caravan, 50-99m,100-199m,400-799m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
District 01,2012/08,Izra',Caravan,200+m,200-399m,100-199m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
District 12,2013/01,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
District 10,2013/02,Dar'a,Tent, 50-99m,400-700m,400-799m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 06,2013/01,As Sanamayn,Caravan, 50-99m,400-700m,200-399m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 08,2013/01,Izra',Caravan, 50-99m,400-700m,400-799m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 05,2013/07,Izra',Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 02,2013/05,Dar'a,Caravan,150-199m,100-199m,100-199m,Yes,Sewage network,Concrete,1-2,3-5,5,0,1-2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
District 06,2013/12,As Sanamayn,Caravan, 0-49m,400-700m,200-399m,Yes,No connection,Dirt / no flooring material,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
District 02,2014/02,Dar'a,Caravan,150-199m,200-399m,100-199m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
District 04,2013/01,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
District 06,2013/02,Izra',Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
District 10,2014/03,Izra',Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,1-2,3-5,4,No school-aged children,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
District 07,2013/01,Damascus,Caravan, 0-49m,200-399m,800+m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
District 09,2013/02,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,Sewage network,Concrete,1-2,3-5,5,1-2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 04,2012/11,Izra',Caravan, 0-49m,100-199m,100-199m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 06,2012/07,As Sanamayn,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
District 12,2012/11,Izra',Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,3-5,6,1-2,1-2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
District 11,2012/10,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,Septic tank,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
District 11,2013/03,Dar'a,Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 06,2013/03,Izra',Caravan, 0-49m,400-700m,200-399m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 07,2013/01,Izra',Caravan, 0-49m,100-199m,400-799m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
District 03,2013/02,Dar'a,Caravan, 50-99m, 0-99m, 0-99m,Yes,Septic tank,Concrete,1-2,1-2,3,No school-aged children,1-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
District 06,2014/06,As Sanamayn,Caravan, 50-99m,400-700m,200-399m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
District 12,2013/12,Dar'a,Caravan, 50-99m,100-199m,400-799m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,1-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
District 12,2013/09,Izra',Caravan, 0-49m,200-399m,200-399m,No,No toilet,No toilet,1-2,0,1,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 04,2013/01,Dar'a,Caravan, 0-49m, 0-99m,100-199m,No,No toilet,No toilet,1-2,0,1,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 10,2013/04,Dar'a,Caravan, 0-49m,100-199m,100-199m,No,No toilet,No toilet,1-2,0,1,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 06,2013/01,As Sanamayn,Caravan, 50-99m,200-399m, 0-99m,Yes,No connection,Concrete,1-2,0,1,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District 10,2014/02,As Sanamayn,Caravan, 0-49m, 0-99m,200-399m,Yes,No connection,Concrete,3-5,3-5,7,1-2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
District 01,2014/03,Dar'a,Caravan,200+m,100-199m, 0-99m,Yes,Sewage network,Concrete,3-5,3-5,7,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0
District 02,2012/08,Dar'a,Caravan,100-149m,200-399m,200-399m,Yes,No connection,Concrete,6-10,6-10,14,1-2,1-2,4,2,1,0,2,1,0,0,2,0,0,0,0,0,0,1,1,0
District 08,2013/01,Rural Damascus,Caravan, 50-99m,400-700m,400-799m,Yes,Sewage network,Concrete,6-10,1-2,8,1-2,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
District 10,2013/01,Izra',Caravan, 50-99m,200-399m,100-199m,Yes,No connection,Concrete,6-10,1-2,8,1-2,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
District 03,2013/03,Dar'a,Caravan, 0-49m,100-199m,200-399m,Yes,No connection,Concrete,3-5,3-5,8,0,1-2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
District 01,2012/12,Izra',Caravan,200+m,200-399m,100-199m,Yes,Septic tank,Concrete,1-2,6-10,8,No school-aged children,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
District 12,2012/12,Dar'a,Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,6-10,1-2,8,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
District 10,2012/12,As Sanamayn,Caravan, 50-99m,100-199m,100-199m,Yes,Septic tank,Concrete,6-10,6-10,14,0,0,4,2,1,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0
District 07,2014/03,As Sanamayn,Caravan, 0-49m,200-399m,800+m,Yes,No connection,Concrete,3-5,1-2,5,No school-aged children,1-2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
District 02,2012/08,Dar'a,Caravan,150-199m, 0-99m, 0-99m,Yes,No connection,Concrete,3-5,6-10,10,1-2,0,2,0,2,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0
District 01,2013/02,Dar'a,Caravan, 50-99m,400-700m,200-399m,Yes,Septic tank,Concrete,3-5,6-10,10,3-5,0,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
District 11,2013/03,Dar'a,Caravan, 0-49m,100-199m,200-399m,Yes,Sewage network,Concrete,3-5,3-5,7,1-2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
District 01,2013/01,Dar'a,Caravan,200+m,200-399m,100-199m,Yes,Septic tank,Concrete,1-2,1-2,4,1-2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
District 06,2012/08,Izra',Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,3-5,1-2,6,1-2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
District 04,2013/02,Dar'a,Caravan, 0-49m, 0-99m,200-399m,Yes,No connection,Concrete,1-2,3-5,5,1-2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
District 06,2013/09,As Sanamayn,Caravan, 50-99m,400-700m,200-399m,Yes,Septic tank,Concrete,3-5,3-5,8,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
District 12,2013/06,Izra',Caravan, 50-99m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
District 03,2012/11,Dar'a,Caravan,150-199m, 0-99m, 0-99m,Yes,No connection,Concrete,1-2,3-5,5,No school-aged children,1-2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
District 03,2013/01,Dar'a,Caravan,100-149m, 0-99m,100-199m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
District 02,2013/03,Dar'a,Caravan, 50-99m,400-700m,400-799m,Yes,Sewage network,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
District 11,2012/12,Izra',Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
District 07,2013/04,Dar'a,Caravan, 50-99m,200-399m,400-799m,Yes,No connection,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
District 08,2013/11,Duma,Caravan, 0-49m,200-399m,400-799m,Yes,Sewage network,Concrete,1-2,1-2,3,No school-aged children,1-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
District 04,2014/04,As Sanamayn,Caravan, 0-49m,100-199m,100-199m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
District 12,2013/05,Dar'a,Caravan,150-199m,100-199m,100-199m,Yes,No connection,Concrete,1-2,3-5,4,No school-aged children,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
District 10,2014/10,Izra',Caravan, 0-49m,200-399m,200-399m,Yes,No connection,Concrete,1-2,1-2,3,No school-aged children,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
District 12,2013/01,Dar'a,Caravan,100-149m,200-399m,200-399m,No,No toilet,No toilet,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
District 08,2014/03,Duma,Caravan, 0-49m,400-700m,400-799m,Yes,Sewage network,Concrete,1-2,1-2,2,No school-aged children,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
